CMDLINE python do_luvoir_telserv2_BW10_medium.py
MEM 516.664062 1557948106.6397
MEM 366.449219 1557948106.7546
MEM 522.660156 1557948106.8696
MEM 428.445312 1557948106.9845
MEM 630.359375 1557948107.0996
MEM 570.957031 1557948107.2153
MEM 238.300781 1557948107.3301
MEM 640.867188 1557948107.4457
MEM 641.097656 1557948107.5614
MEM 654.738281 1557948107.6768
MEM 570.957031 1557948107.7924
MEM 358.449219 1557948107.9073
MEM 356.597656 1557948108.0228
MEM 647.097656 1557948108.1384
MEM 573.101562 1557948108.2569
MEM 574.800781 1557948108.3723
MEM 250.300781 1557948108.4874
MEM 248.449219 1557948108.6023
MEM 651.097656 1557948108.7180
MEM 649.101562 1557948108.8356
MEM 558.664062 1557948108.9506
MEM 524.664062 1557948109.0656
MEM 374.449219 1557948109.1805
MEM 532.660156 1557948109.2954
MEM 438.445312 1557948109.4104
MEM 638.359375 1557948109.5256
MEM 580.957031 1557948109.6415
MEM 246.300781 1557948109.7564
MEM 650.746094 1557948109.8717
MEM 651.097656 1557948109.9874
MEM 662.738281 1557948110.1026
MEM 580.957031 1557948110.2182
MEM 368.449219 1557948110.3332
MEM 368.597656 1557948110.4492
MEM 651.097656 1557948110.5647
MEM 603.101562 1557948110.6828
MEM 578.800781 1557948110.7980
MEM 256.300781 1557948110.9130
MEM 254.449219 1557948111.0280
MEM 651.097656 1557948111.1436
MEM 651.101562 1557948111.2615
MEM 562.941406 1557948111.3763
MEM 528.664062 1557948111.4913
MEM 386.449219 1557948111.6064
MEM 542.660156 1557948111.7214
MEM 448.445312 1557948111.8363
MEM 652.359375 1557948111.9515
MEM 596.574219 1557948112.0673
MEM 262.300781 1557948112.1823
MEM 414.660156 1557948112.2973
MEM 651.097656 1557948112.4129
MEM 665.914062 1557948112.5280
MEM 580.957031 1557948112.6436
MEM 386.453125 1557948112.7585
MEM 386.601562 1557948112.8742
MEM 651.101562 1557948112.9898
MEM 637.105469 1557948113.1073
MEM 578.804688 1557948113.2229
MEM 274.304688 1557948113.3378
MEM 270.453125 1557948113.4527
MEM 651.101562 1557948113.5682
MEM 735.253906 1557948113.6863
MEM 568.667969 1557948113.8011
MEM 406.957031 1557948113.9161
MEM 404.453125 1557948114.0310
MEM 558.664062 1557948114.1459
MEM 464.449219 1557948114.2610
MEM 666.363281 1557948114.3761
MEM 580.996094 1557948114.4922
MEM 285.707031 1557948114.6072
MEM 438.066406 1557948114.7222
MEM 672.503906 1557948114.8377
MEM 550.507812 1557948114.9527
MEM 578.667969 1557948115.0687
MEM 406.453125 1557948115.1836
MEM 406.601562 1557948115.3002
MEM 661.101562 1557948115.4160
MEM 661.105469 1557948115.5337
MEM 588.855469 1557948115.6494
MEM 295.972656 1557948115.7643
MEM 295.238281 1557948115.8793
MEM 661.101562 1557948115.9949
MEM 779.179688 1557948116.1107
MEM 578.667969 1557948116.2255
MEM 173.687500 1557948116.3404
